caller,callee,required_status,evidence
0x004DECF0,0x004DEB10,decompiled,config/clone-families.toml canonical outer manager constructs secondary base at +4
0x004DECF0,0x004DEC70,implemented,config/clone-families.toml canonical outer manager preallocates 256 objects
0x004DED80,0x004454E0,library,IDA Pro optional parent publication through exact VC8 deque push_back
0x004DED80,0x004DEB80,implemented,IDA Pro spawn begins with acquire and tracking-list insertion
0x004DEEF0,0x004DECF0,decompiled,docs/CHARACTER_PILOTS.md owned-manager allocation and construction
0x004DEF70,0x00493300,identified,docs/CHARACTER_PILOTS.md shared dispatcher prelude
0x004DEF70,0x00493380,identified,docs/CHARACTER_PILOTS.md shared dispatcher prelude
0x004DEF70,0x00493490,identified,docs/CHARACTER_PILOTS.md shared flagged gate
0x004DEF70,0x00493540,identified,docs/CHARACTER_PILOTS.md repeated action-selection helper
0x004DEF70,0x00493580,identified,docs/CHARACTER_PILOTS.md repeated command-table lookup
0x004DEF70,0x004935D0,matching,docs/CHARACTER_PILOTS.md shared ordered 208 209 210 threshold gate
0x004DEF70,0x004937D0,matching,docs/CHARACTER_PILOTS.md shared mirrored 200 201 direction gate
0x004DEF70,0x00493920,implemented,docs/CHARACTER_PILOTS.md shared action-202 repeated-command gate
0x004DEF70,0x00493A10,implemented,docs/CHARACTER_PILOTS.md shared action-203 repeated-command gate
0x004DEF70,0x00493B00,matching,docs/CHARACTER_PILOTS.md shared action-214 counted direction-angle gate
0x004DEF70,0x00493C90,implemented,docs/CHARACTER_PILOTS.md shared seven-way front-record action gate
0x004F9F40,0x00402A50,library,IDA Pro direct call from Alice object-pool reuse path
0x004F9F40,0x004927D0,decompiled,IDA Pro common CharacterObject construction in fresh and reuse paths
0x004FA150,0x004F9EB0,decompiled,config/clone-families.toml canonical manager-base constructor constructs typed handle pool at +4
0x004FA1C0,0x00454890,library,IDA Pro exact normalized list-size update call
0x004FA1C0,0x0046D000,matching,IDA Pro exact normalized list-node allocation call
0x004FA1C0,0x004F9F40,identified,IDA Pro character-specific pool-acquire call
0x004FA2B0,0x004B9540,decompiled,config/clone-families.toml canonical preallocation tail releases tracked handles
0x004FA2B0,0x004F9F40,identified,config/clone-families.toml canonical preallocation loop calls fighter pool acquire
0x004FA330,0x004FA150,decompiled,config/clone-families.toml canonical outer manager constructs secondary base at +4
0x004FA330,0x004FA2B0,implemented,config/clone-families.toml canonical outer manager preallocates 256 objects
0x004FA3C0,0x004454E0,library,IDA Pro normalized roster-owned spawn parent-link block
0x004FA3C0,0x004FA1C0,identified,IDA Pro direct acquire-and-link call
0x004FA5C0,0x0045BBB0,matching,IDA Pro Alice spell sequence availability gates
0x004FA5C0,0x004631E0,implemented,IDA Pro Alice action-transition call cluster
0x004FA5C0,0x00493C90,implemented,IDA Pro Alice front-record selector call
0x004FC3A0,0x00406710,matching,target direct call and exact related-object heading tracker comparison
0x0051E3C0,0x00402A50,library,IDA Pro direct call from Patchouli object-pool reuse path
0x0051E3C0,0x004927D0,decompiled,IDA Pro common CharacterObject construction in fresh and reuse paths
0x0051E5F0,0x0051E330,decompiled,config/clone-families.toml canonical manager-base constructor constructs typed handle pool at +4
0x0051E660,0x00454890,library,IDA Pro exact normalized list-size update call
0x0051E660,0x0046D000,matching,IDA Pro exact normalized list-node allocation call
0x0051E660,0x0051E3C0,identified,IDA Pro character-specific pool-acquire call
0x0051E750,0x004B9540,decompiled,config/clone-families.toml canonical preallocation tail releases tracked handles
0x0051E750,0x0051E3C0,identified,config/clone-families.toml canonical preallocation loop calls fighter pool acquire
0x0051E7D0,0x0051E5F0,decompiled,config/clone-families.toml canonical outer manager constructs secondary base at +4
0x0051E7D0,0x0051E750,implemented,config/clone-families.toml canonical outer manager preallocates 256 objects
0x0051E870,0x004454E0,library,IDA Pro normalized roster-owned spawn parent-link block
0x0051E870,0x0051E660,identified,IDA Pro direct acquire-and-link call
0x0051EA60,0x0045BBB0,matching,IDA Pro Patchouli spell sequence availability gates
0x0051EA60,0x004631E0,implemented,IDA Pro Patchouli action-transition call cluster
0x0051EA60,0x00493C90,implemented,IDA Pro Patchouli front-record selector call
0x0053A8C0,0x00402A50,library,IDA Pro direct call from Youmu object-pool reuse path
0x0053A8C0,0x004927D0,decompiled,IDA Pro common CharacterObject construction in fresh and reuse paths
0x0053AAF0,0x0053A830,decompiled,config/clone-families.toml canonical manager-base constructor constructs typed handle pool at +4
0x0053AB60,0x00454890,library,IDA Pro exact normalized list-size update call
0x0053AB60,0x0046D000,matching,IDA Pro exact normalized list-node allocation call
0x0053AB60,0x0053A8C0,identified,IDA Pro character-specific pool-acquire call
0x0053AC50,0x004B9540,decompiled,config/clone-families.toml canonical preallocation tail releases tracked handles
0x0053AC50,0x0053A8C0,identified,config/clone-families.toml canonical preallocation loop calls fighter pool acquire
0x0053ACD0,0x0053AAF0,decompiled,config/clone-families.toml canonical outer manager constructs secondary base at +4
0x0053ACD0,0x0053AC50,implemented,config/clone-families.toml canonical outer manager preallocates 256 objects
0x0053ADF0,0x004454E0,library,IDA Pro normalized roster-owned spawn parent-link block
0x0053ADF0,0x0053AB60,identified,IDA Pro direct acquire-and-link call
0x0053B040,0x0045BBB0,matching,IDA Pro Youmu spell sequence availability gates
0x0053B040,0x004631E0,implemented,IDA Pro Youmu action-transition call cluster
0x0053B040,0x00493C90,implemented,IDA Pro Youmu front-record selector call
0x0053C7F0,0x004FC350,matching,IDA Pro direct call to exact unparented related-object spawn adapter
0x0053CAA0,0x0053CA40,library,Exact Youmu owner-record adapter uses checked deque access specialization
0x00555690,0x00402A50,library,IDA Pro direct call from Remilia object-pool reuse path
0x00555690,0x004927D0,decompiled,IDA Pro common CharacterObject construction in fresh and reuse paths
0x005558C0,0x00555600,decompiled,config/clone-families.toml canonical manager-base constructor constructs typed handle pool at +4
0x00555930,0x00454890,library,IDA Pro exact normalized list-size update call
0x00555930,0x0046D000,matching,IDA Pro exact normalized list-node allocation call
0x00555930,0x00555690,identified,IDA Pro character-specific pool-acquire call
0x00555A20,0x004B9540,decompiled,config/clone-families.toml canonical preallocation tail releases tracked handles
0x00555A20,0x00555690,identified,config/clone-families.toml canonical preallocation loop calls fighter pool acquire
0x00555AA0,0x005558C0,decompiled,config/clone-families.toml canonical outer manager constructs secondary base at +4
0x00555AA0,0x00555A20,implemented,config/clone-families.toml canonical outer manager preallocates 256 objects
0x00555BA0,0x004454E0,library,IDA Pro normalized roster-owned spawn parent-link block
0x00555BA0,0x00555930,identified,IDA Pro direct acquire-and-link call
0x00555D90,0x0045BBB0,matching,IDA Pro Remilia spell sequence availability gates
0x00555D90,0x004631E0,implemented,IDA Pro Remilia action-transition call cluster
0x00555D90,0x00493C90,implemented,IDA Pro Remilia front-record selector call
0x0056D250,0x00402A50,library,IDA Pro direct call from Yuyuko object-pool reuse path
0x0056D250,0x004927D0,decompiled,IDA Pro common CharacterObject construction in fresh and reuse paths
0x0056D480,0x0056D1C0,decompiled,config/clone-families.toml canonical manager-base constructor constructs typed handle pool at +4
0x0056D4F0,0x00454890,library,IDA Pro exact normalized list-size update call
0x0056D4F0,0x0046D000,matching,IDA Pro exact normalized list-node allocation call
0x0056D4F0,0x0056D250,identified,IDA Pro character-specific pool-acquire call
0x0056D5E0,0x004B9540,decompiled,config/clone-families.toml canonical preallocation tail releases tracked handles
0x0056D5E0,0x0056D250,identified,config/clone-families.toml canonical preallocation loop calls fighter pool acquire
0x0056D660,0x0056D480,decompiled,config/clone-families.toml canonical outer manager constructs secondary base at +4
0x0056D660,0x0056D5E0,implemented,config/clone-families.toml canonical outer manager preallocates 256 objects
0x0056D6F0,0x004454E0,library,IDA Pro normalized roster-owned spawn parent-link block
0x0056D6F0,0x0056D4F0,identified,IDA Pro direct acquire-and-link call
0x0056D8E0,0x0045BBB0,matching,IDA Pro Yuyuko spell sequence availability gates
0x0056D8E0,0x004631E0,implemented,IDA Pro Yuyuko action-transition call cluster
0x0056D8E0,0x00493C90,implemented,IDA Pro Yuyuko front-record selector call
0x0058B3A0,0x00402A50,library,IDA Pro direct call from Yukari object-pool reuse path
0x0058B3A0,0x004927D0,decompiled,IDA Pro common CharacterObject construction in fresh and reuse paths
0x0058B5D0,0x0058B310,decompiled,config/clone-families.toml canonical manager-base constructor constructs typed handle pool at +4
0x0058B640,0x00454890,library,IDA Pro exact normalized list-size update call
0x0058B640,0x0046D000,matching,IDA Pro exact normalized list-node allocation call
0x0058B640,0x0058B3A0,identified,IDA Pro character-specific pool-acquire call
0x0058B730,0x004B9540,decompiled,config/clone-families.toml canonical preallocation tail releases tracked handles
0x0058B730,0x0058B3A0,identified,config/clone-families.toml canonical preallocation loop calls fighter pool acquire
0x0058B7B0,0x0058B5D0,decompiled,config/clone-families.toml canonical outer manager constructs secondary base at +4
0x0058B7B0,0x0058B730,implemented,config/clone-families.toml canonical outer manager preallocates 256 objects
0x0058B840,0x004454E0,library,IDA Pro normalized roster-owned spawn parent-link block
0x0058B840,0x0058B640,identified,IDA Pro direct acquire-and-link call
0x0058BA30,0x00434390,matching,Exact post-action-201 boundary classifier call
0x0058BA30,0x004631E0,implemented,Exact relocated phase-initializer call sites in standalone object comparison
0x0058BA30,0x00493580,implemented,Exact relocated command-threshold lookup call sites in standalone object comparison
0x0058BBA0,0x0045BBB0,matching,IDA Pro Yukari spell sequence availability gates
0x0058BBA0,0x004631E0,implemented,IDA Pro Yukari action-transition call cluster
0x0058BBA0,0x00493C90,implemented,IDA Pro Yukari front-record selector call
0x005ADDE0,0x00402A50,library,IDA Pro direct call from Suika object-pool reuse path
0x005ADDE0,0x004927D0,decompiled,IDA Pro common CharacterObject construction in fresh and reuse paths
0x005AE010,0x005ADD50,decompiled,config/clone-families.toml canonical manager-base constructor constructs typed handle pool at +4
0x005AE080,0x00454890,library,IDA Pro exact normalized list-size update call
0x005AE080,0x0046D000,matching,IDA Pro exact normalized list-node allocation call
0x005AE080,0x005ADDE0,identified,IDA Pro character-specific pool-acquire call
0x005AE170,0x004B9540,decompiled,config/clone-families.toml canonical preallocation tail releases tracked handles
0x005AE170,0x005ADDE0,identified,config/clone-families.toml canonical preallocation loop calls fighter pool acquire
0x005AE1F0,0x005AE010,decompiled,config/clone-families.toml canonical outer manager constructs secondary base at +4
0x005AE1F0,0x005AE170,implemented,config/clone-families.toml canonical outer manager preallocates 256 objects
0x005AE280,0x004454E0,library,IDA Pro normalized roster-owned spawn parent-link block
0x005AE280,0x005AE080,identified,IDA Pro direct acquire-and-link call
0x005AE470,0x0045BBB0,matching,IDA Pro Suika spell sequence availability gates
0x005AE470,0x004631E0,implemented,IDA Pro Suika action-transition call cluster
0x005AE470,0x00493C90,implemented,IDA Pro Suika front-record selector call
0x005D5D60,0x00402A50,library,IDA Pro direct call from Udonge object-pool reuse path
0x005D5D60,0x004927D0,decompiled,IDA Pro common CharacterObject construction in fresh and reuse paths
0x005D5F70,0x005D5CD0,decompiled,config/clone-families.toml canonical manager-base constructor constructs typed handle pool at +4
0x005D5FE0,0x00454890,library,IDA Pro exact normalized list-size update call
0x005D5FE0,0x0046D000,matching,IDA Pro exact normalized list-node allocation call
0x005D5FE0,0x005D5D60,identified,IDA Pro character-specific pool-acquire call
0x005D60D0,0x004B9540,decompiled,config/clone-families.toml canonical preallocation tail releases tracked handles
0x005D60D0,0x005D5D60,identified,config/clone-families.toml canonical preallocation loop calls fighter pool acquire
0x005D6150,0x005D5F70,decompiled,config/clone-families.toml canonical outer manager constructs secondary base at +4
0x005D6150,0x005D60D0,implemented,config/clone-families.toml canonical outer manager preallocates 256 objects
0x005D6200,0x004454E0,library,IDA Pro normalized roster-owned spawn parent-link block
0x005D6200,0x005D5FE0,identified,IDA Pro direct acquire-and-link call
0x005D63F0,0x0045BBB0,matching,IDA Pro Udonge spell sequence availability gates
0x005D63F0,0x004631E0,implemented,IDA Pro Udonge action-transition call cluster
0x005D63F0,0x00493C90,implemented,IDA Pro Udonge front-record selector call
0x005F6B20,0x00402A50,library,IDA Pro direct call from Komachi object-pool reuse path
0x005F6B20,0x004927D0,decompiled,IDA Pro common CharacterObject construction in fresh and reuse paths
0x005F6D30,0x005F6A90,decompiled,config/clone-families.toml canonical manager-base constructor constructs typed handle pool at +4
0x005F6DA0,0x00454890,library,IDA Pro exact normalized list-size update call
0x005F6DA0,0x0046D000,matching,IDA Pro exact normalized list-node allocation call
0x005F6DA0,0x005F6B20,identified,IDA Pro character-specific pool-acquire call
0x005F6E90,0x004B9540,decompiled,config/clone-families.toml canonical preallocation tail releases tracked handles
0x005F6E90,0x005F6B20,identified,config/clone-families.toml canonical preallocation loop calls fighter pool acquire
0x005F6F10,0x005F6D30,decompiled,config/clone-families.toml canonical outer manager constructs secondary base at +4
0x005F6F10,0x005F6E90,implemented,config/clone-families.toml canonical outer manager preallocates 256 objects
0x005F6FA0,0x004454E0,library,IDA Pro normalized roster-owned spawn parent-link block
0x005F6FA0,0x005F6DA0,identified,IDA Pro direct acquire-and-link call
0x005F7190,0x0045BBB0,matching,IDA Pro Komachi spell sequence availability gates
0x005F7190,0x004631E0,implemented,IDA Pro Komachi action-transition call cluster
0x005F7190,0x00493C90,implemented,IDA Pro Komachi front-record selector call
0x00617420,0x00402A50,library,IDA Pro direct call from Aya object-pool reuse path
0x00617420,0x004927D0,decompiled,IDA Pro common CharacterObject construction in fresh and reuse paths
0x00617650,0x00617390,decompiled,config/clone-families.toml canonical manager-base constructor constructs typed handle pool at +4
0x006176C0,0x00454890,library,IDA Pro exact normalized list-size update call
0x006176C0,0x0046D000,matching,IDA Pro exact normalized list-node allocation call
0x006176C0,0x00617420,identified,IDA Pro character-specific pool-acquire call
0x006177B0,0x004B9540,decompiled,config/clone-families.toml canonical preallocation tail releases tracked handles
0x006177B0,0x00617420,identified,config/clone-families.toml canonical preallocation loop calls fighter pool acquire
0x00617830,0x00617650,decompiled,config/clone-families.toml canonical outer manager constructs secondary base at +4
0x00617830,0x006177B0,implemented,config/clone-families.toml canonical outer manager preallocates 256 objects
0x00617930,0x004454E0,library,IDA Pro normalized roster-owned spawn parent-link block
0x00617930,0x006176C0,identified,IDA Pro direct acquire-and-link call
0x00617B20,0x0045BBB0,matching,IDA Pro Aya spell sequence availability gates
0x00617B20,0x004631E0,implemented,IDA Pro Aya action-transition call cluster
0x00617B20,0x00493C90,implemented,IDA Pro Aya front-record selector call
0x00630180,0x00402A50,library,IDA Pro direct call from Iku object-pool reuse path
0x00630180,0x004927D0,decompiled,IDA Pro common CharacterObject construction in fresh and reuse paths
0x00630390,0x006300F0,decompiled,config/clone-families.toml canonical manager-base constructor constructs typed handle pool at +4
0x00630400,0x00454890,library,IDA Pro exact normalized list-size update call
0x00630400,0x0046D000,matching,IDA Pro exact normalized list-node allocation call
0x00630400,0x00630180,identified,IDA Pro character-specific pool-acquire call
0x006304F0,0x004B9540,decompiled,config/clone-families.toml canonical preallocation tail releases tracked handles
0x006304F0,0x00630180,identified,config/clone-families.toml canonical preallocation loop calls fighter pool acquire
0x00630570,0x00630390,decompiled,config/clone-families.toml canonical outer manager constructs secondary base at +4
0x00630570,0x006304F0,implemented,config/clone-families.toml canonical outer manager preallocates 256 objects
0x00630600,0x004454E0,library,IDA Pro normalized roster-owned spawn parent-link block
0x00630600,0x00630400,identified,IDA Pro direct acquire-and-link call
0x00630800,0x0045BBB0,matching,IDA Pro Iku spell sequence availability gates
0x00630800,0x004631E0,implemented,IDA Pro Iku action-transition call cluster
0x00630800,0x00493C90,implemented,IDA Pro Iku front-record selector call
0x0064A510,0x00402A50,library,IDA Pro direct call from Tenshi object-pool reuse path
0x0064A510,0x004927D0,decompiled,IDA Pro common CharacterObject construction in fresh and reuse paths
0x0064A720,0x0064A480,decompiled,config/clone-families.toml canonical manager-base constructor constructs typed handle pool at +4
0x0064A790,0x00454890,library,IDA Pro exact normalized list-size update call
0x0064A790,0x0046D000,matching,IDA Pro exact normalized list-node allocation call
0x0064A790,0x0064A510,identified,IDA Pro character-specific pool-acquire call
0x0064A880,0x004B9540,decompiled,config/clone-families.toml canonical preallocation tail releases tracked handles
0x0064A880,0x0064A510,identified,config/clone-families.toml canonical preallocation loop calls fighter pool acquire
0x0064A900,0x0064A720,decompiled,config/clone-families.toml canonical outer manager constructs secondary base at +4
0x0064A900,0x0064A880,implemented,config/clone-families.toml canonical outer manager preallocates 256 objects
0x0064A990,0x004454E0,library,IDA Pro normalized roster-owned spawn parent-link block
0x0064A990,0x0064A790,identified,IDA Pro direct acquire-and-link call
0x0064AB80,0x0045BBB0,matching,IDA Pro Tenshi spell sequence availability gates
0x0064AB80,0x004631E0,implemented,IDA Pro Tenshi action-transition call cluster
0x0064AB80,0x00493C90,implemented,IDA Pro Tenshi front-record selector call
0x0064C090,0x00433CC0,matching,Exact two relocated effect-emitter calls in standalone object comparison
0x0048CBA0,0x00406710,matching,IDA Pro complete Reimu CPU action-policy direct-callee inventory
0x0048CBA0,0x00406880,matching,IDA Pro complete Reimu CPU action-policy direct-callee inventory
0x0048CBA0,0x004069A0,matching,IDA Pro complete Reimu CPU action-policy direct-callee inventory
0x0048CBA0,0x0045B9E0,implemented,IDA Pro complete Reimu CPU action-policy direct-callee inventory
0x0048CBA0,0x0067B8E0,library,IDA Pro complete Reimu CPU action-policy direct-callee inventory
0x004B38A0,0x00406710,matching,IDA Pro complete Marisa CPU action-policy direct-callee inventory
0x004B38A0,0x00406880,matching,IDA Pro complete Marisa CPU action-policy direct-callee inventory
0x004B38A0,0x004069A0,matching,IDA Pro complete Marisa CPU action-policy direct-callee inventory
0x004B38A0,0x0045B9E0,implemented,IDA Pro complete Marisa CPU action-policy direct-callee inventory
0x004B38A0,0x0067B8E0,library,IDA Pro complete Marisa CPU action-policy direct-callee inventory
0x004F4650,0x00406710,matching,IDA Pro complete Alice CPU action-policy direct-callee inventory
0x004F4650,0x00406880,matching,IDA Pro complete Alice CPU action-policy direct-callee inventory
0x004F4650,0x004069A0,matching,IDA Pro complete Alice CPU action-policy direct-callee inventory
0x004F4650,0x0045B9E0,implemented,IDA Pro complete Alice CPU action-policy direct-callee inventory
0x004F4650,0x0067B8E0,library,IDA Pro complete Alice CPU action-policy direct-callee inventory
0x005CFE00,0x00406710,matching,IDA Pro complete shared CPU action-policy direct-callee inventory
0x005CFE00,0x00406880,matching,IDA Pro complete shared CPU action-policy direct-callee inventory
0x005CFE00,0x004069A0,matching,IDA Pro complete shared CPU action-policy direct-callee inventory
0x005CFE00,0x0045B9E0,implemented,IDA Pro complete shared CPU action-policy direct-callee inventory
0x005CFE00,0x0067B8E0,library,IDA Pro complete shared CPU action-policy direct-callee inventory
0x00611D80,0x00406710,matching,IDA Pro complete Aya CPU action-policy direct-callee inventory
0x00611D80,0x00406880,matching,IDA Pro complete Aya CPU action-policy direct-callee inventory
0x00611D80,0x004069A0,matching,IDA Pro complete Aya CPU action-policy direct-callee inventory
0x00611D80,0x0045B9E0,implemented,IDA Pro complete Aya CPU action-policy direct-callee inventory
0x00611D80,0x0067B8E0,library,IDA Pro complete Aya CPU action-policy direct-callee inventory
0x00491480,0x00433CC0,matching,IDA Pro complete roster action-change direct-callee inventory 2026-08-11
0x00491480,0x00434450,decompiled,IDA Pro complete roster action-change direct-callee inventory 2026-08-11
0x00491480,0x00434470,decompiled,IDA Pro complete roster action-change direct-callee inventory 2026-08-11
0x00491480,0x00459970,decompiled,IDA Pro complete roster action-change direct-callee inventory 2026-08-11
0x00491480,0x00459C80,decompiled,IDA Pro complete roster action-change direct-callee inventory 2026-08-11
0x00491480,0x0045BB10,matching,IDA Pro complete roster action-change direct-callee inventory 2026-08-11
0x00491480,0x0045C8B0,decompiled,IDA Pro complete roster action-change direct-callee inventory 2026-08-11
0x00491480,0x0045DF60,decompiled,IDA Pro complete roster action-change direct-callee inventory 2026-08-11
0x00491480,0x004642D0,decompiled,IDA Pro complete roster action-change direct-callee inventory 2026-08-11
0x00491480,0x004737A0,decompiled,IDA Pro complete roster action-change direct-callee inventory 2026-08-11
0x004B81F0,0x00433B90,matching,IDA Pro complete roster action-change direct-callee inventory 2026-08-11
0x004B81F0,0x00459970,decompiled,IDA Pro complete roster action-change direct-callee inventory 2026-08-11
0x004B81F0,0x0045AA60,identified,IDA Pro complete roster action-change direct-callee inventory 2026-08-11
0x004B81F0,0x004642D0,decompiled,IDA Pro complete roster action-change direct-callee inventory 2026-08-11
0x004B81F0,0x00495BE0,decompiled,IDA Pro complete roster action-change direct-callee inventory 2026-08-11
0x004DDB20,0x00459970,decompiled,IDA Pro complete roster action-change direct-callee inventory 2026-08-11
0x004F9320,0x00433B90,matching,IDA Pro complete roster action-change direct-callee inventory 2026-08-11
0x004F9320,0x00434470,decompiled,IDA Pro complete roster action-change direct-callee inventory 2026-08-11
0x004F9320,0x00459970,decompiled,IDA Pro complete roster action-change direct-callee inventory 2026-08-11
0x0051D140,0x00433B90,matching,IDA Pro complete roster action-change direct-callee inventory 2026-08-11
0x0051D140,0x00433CC0,matching,IDA Pro complete roster action-change direct-callee inventory 2026-08-11
0x0051D140,0x00434470,decompiled,IDA Pro complete roster action-change direct-callee inventory 2026-08-11
0x0051D140,0x00434800,matching,IDA Pro complete roster action-change direct-callee inventory 2026-08-11
0x0051D140,0x00459970,decompiled,IDA Pro complete roster action-change direct-callee inventory 2026-08-11
0x0051D140,0x00459C80,decompiled,IDA Pro complete roster action-change direct-callee inventory 2026-08-11
0x0051D140,0x0045B9E0,implemented,IDA Pro complete roster action-change direct-callee inventory 2026-08-11
0x0051D140,0x0045BB10,matching,IDA Pro complete roster action-change direct-callee inventory 2026-08-11
0x0051D140,0x0045C8B0,decompiled,IDA Pro complete roster action-change direct-callee inventory 2026-08-11
0x0051D140,0x0045DF60,decompiled,IDA Pro complete roster action-change direct-callee inventory 2026-08-11
0x00539D70,0x00434470,decompiled,IDA Pro complete roster action-change direct-callee inventory 2026-08-11
0x00539D70,0x00459970,decompiled,IDA Pro complete roster action-change direct-callee inventory 2026-08-11
0x00539D70,0x004642D0,decompiled,IDA Pro complete roster action-change direct-callee inventory 2026-08-11
0x00554A00,0x00459970,decompiled,IDA Pro complete roster action-change direct-callee inventory 2026-08-11
0x0056C490,0x00459970,decompiled,IDA Pro complete roster action-change direct-callee inventory 2026-08-11
0x0056C490,0x0045AA60,identified,IDA Pro complete roster action-change direct-callee inventory 2026-08-11
0x00589F20,0x00433B90,matching,IDA Pro complete roster action-change direct-callee inventory 2026-08-11
0x00589F20,0x00433C40,matching,IDA Pro complete roster action-change direct-callee inventory 2026-08-11
0x00589F20,0x00433CC0,matching,IDA Pro complete roster action-change direct-callee inventory 2026-08-11
0x00589F20,0x00434450,decompiled,IDA Pro complete roster action-change direct-callee inventory 2026-08-11
0x00589F20,0x00434470,decompiled,IDA Pro complete roster action-change direct-callee inventory 2026-08-11
0x00589F20,0x00459970,decompiled,IDA Pro complete roster action-change direct-callee inventory 2026-08-11
0x00589F20,0x0045AA60,identified,IDA Pro complete roster action-change direct-callee inventory 2026-08-11
0x00589F20,0x004642D0,decompiled,IDA Pro complete roster action-change direct-callee inventory 2026-08-11
0x00589F20,0x004737A0,decompiled,IDA Pro complete roster action-change direct-callee inventory 2026-08-11
0x005ACC10,0x004069A0,matching,IDA Pro complete roster action-change direct-callee inventory 2026-08-11
0x005ACC10,0x00459970,decompiled,IDA Pro complete roster action-change direct-callee inventory 2026-08-11
0x005ACC10,0x0045AA60,identified,IDA Pro complete roster action-change direct-callee inventory 2026-08-11
0x005ACC10,0x004642D0,decompiled,IDA Pro complete roster action-change direct-callee inventory 2026-08-11
0x005D4610,0x00433CC0,matching,IDA Pro complete roster action-change direct-callee inventory 2026-08-11
0x005D4610,0x00434450,decompiled,IDA Pro complete roster action-change direct-callee inventory 2026-08-11
0x005D4610,0x00434470,decompiled,IDA Pro complete roster action-change direct-callee inventory 2026-08-11
0x005D4610,0x00459970,decompiled,IDA Pro complete roster action-change direct-callee inventory 2026-08-11
0x005D4610,0x0045AA60,identified,IDA Pro complete roster action-change direct-callee inventory 2026-08-11
0x005D4610,0x004642D0,decompiled,IDA Pro complete roster action-change direct-callee inventory 2026-08-11
0x005D4610,0x004737A0,decompiled,IDA Pro complete roster action-change direct-callee inventory 2026-08-11
0x005D4610,0x00477040,decompiled,IDA Pro complete roster action-change direct-callee inventory 2026-08-11
0x005D4610,0x005CFDE0,decompiled,IDA Pro complete roster action-change direct-callee inventory 2026-08-11
0x005F5DE0,0x00433B90,matching,IDA Pro complete roster action-change direct-callee inventory 2026-08-11
0x005F5DE0,0x00434470,decompiled,IDA Pro complete roster action-change direct-callee inventory 2026-08-11
0x005F5DE0,0x00459970,decompiled,IDA Pro complete roster action-change direct-callee inventory 2026-08-11
0x006166A0,0x00433B90,matching,IDA Pro complete roster action-change direct-callee inventory 2026-08-11
0x006166A0,0x00433C40,matching,IDA Pro complete roster action-change direct-callee inventory 2026-08-11
0x006166A0,0x00459970,decompiled,IDA Pro complete roster action-change direct-callee inventory 2026-08-11
0x006166A0,0x0045AA60,identified,IDA Pro complete roster action-change direct-callee inventory 2026-08-11
0x0062F4B0,0x00433B90,matching,IDA Pro complete roster action-change direct-callee inventory 2026-08-11
0x0062F4B0,0x00459970,decompiled,IDA Pro complete roster action-change direct-callee inventory 2026-08-11
0x006495C0,0x00459970,decompiled,IDA Pro complete roster action-change direct-callee inventory 2026-08-11
0x006495C0,0x004642D0,decompiled,IDA Pro complete roster action-change direct-callee inventory 2026-08-11
0x006495C0,0x00477040,decompiled,IDA Pro complete roster action-change direct-callee inventory 2026-08-11
0x006495C0,0x00478670,decompiled,IDA Pro complete roster action-change direct-callee inventory 2026-08-11
0x0045C8B0,0x00431860,implemented,IDA Pro complete indexed sequence-window direct-callee inventory
0x0045C8B0,0x0045B900,decompiled,IDA Pro complete indexed sequence-window direct-callee inventory
0x0045C8B0,0x0045C620,decompiled,IDA Pro complete indexed sequence-window direct-callee inventory
0x0045C8B0,0x004643F0,decompiled,IDA Pro complete indexed sequence-window direct-callee inventory
0x0045C8B0,0x0067B884,library,IDA Pro complete indexed sequence-window direct-callee inventory
